2018,2019,2020,2021,2022,2023
0.0,0.0,0.0,0.0,0.0,0.0
537.0,510.0,947.0,174.0,80.0,1.0
65.0,35.0,59.0,36.0,15.0,1.0
71.0,100.0,90.0,135.0,25.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,8.0,43.0,0.0
5747.0,7360.0,7209.0,3751.0,1627.0,144.0
104.0,202.0,355.0,392.0,288.0,12.0
0.0,128.0,102.0,53.0,19.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
19.0,38.0,13.0,8.0,16.0,2.0
0.0,51.0,15.0,17.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0
991.0,1255.0,2051.0,1238.0,548.0,56.0
172.0,426.0,105.0,371.0,91.0,12.0
76.0,111.0,346.0,130.0,139.0,24.0
3128.0,1220.0,2014.0,1699.0,550.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,0.0,9.0,0.0,1.0
0.0,0.0,0.0,0.0,8.0,1.0
0.0,0.0,0.0,29.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1960.0,2007.0,1861.0,1815.0,0.0,0.0
66.0,51.0,64.0,46.0,22.0,1.0
271.0,817.0,737.0,253.0,93.0,18.0
1583.0,1646.0,1029.0,866.0,306.0,20.0
