country,publications
China,10867
United States,5488
Australia,1706
Canada,1413
India,1394
Germany,1167
United Kingdom,1084
Iran,971
France,924
Italy,922
Netherlands,902
Spain,900
South Korea,829
Brazil,628
Japan,609
Switzerland,442
Sweden,408
Norway,369
Hong Kong,358
Turkey,350
Denmark,331
Portugal,320
Belgium,317
Taiwan,313
Singapore,306
Poland,288
South Africa,265
Malaysia,256
Egypt,243
New Zealand,235
Austria,220
Saudi Arabia,212
Pakistan,201
Israel,199
Viet Nam,192
Mexico,173
Greece,155
Finland,153
Bangladesh,145
United Arab Emirates,141
Ethiopia,131
Russian Federation,130
Czech Republic,115
Nigeria,112
Thailand,108
Chile,107
Argentina,101
Ireland,101
Indonesia,95
Morocco,86
Colombia,80
Ghana,74
Tunisia,74
Croatia,56
Hungary,56
Qatar,55
Cyprus,54
Algeria,53
Oman,52
Kenya,52
Iraq,48
Macao,47
Tanzania,45
Nepal,44
Slovenia,44
Ecuador,35
Sri Lanka,34
Lebanon,33
Estonia,32
Slovakia,30
Serbia,27
Peru,25
Jordan,25
Kazakhstan,23
Luxembourg,22
Uganda,22
Costa Rica,21
Philippines,21
Uruguay,19
Cameroon,18
Kuwait,18
Ukraine,17
Lithuania,16
Benin,16
Georgia,16
Senegal,15
Uzbekistan,14
Latvia,13
Sudan,13
Zimbabwe,13
Iceland,12
Laos,12
Cambodia,10
Cote d'Ivoire,10
Democratic Republic Congo,9
Botswana,9
Bolivia,8
Niger,7
Fiji,7
Palestine,7
Brunei Darussalam,7
Namibia,6
Burkina Faso,6
Madagascar,6
Puerto Rico,6
Myanmar,6
Cuba,6
Mongolia,5
Rwanda,5
North Korea,5
Mozambique,5
Zambia,5
Libyan Arab Jamahiriya,5
Bulgaria,4
Belarus,4
Armenia,4
New Caledonia,4
Syrian Arab Republic,4
Afghanistan,4
Malawi,4
Swaziland,4
Malta,4
Togo,3
Guam,3
Mali,3
Guatemala,3
Sierra Leone,3
Yemen,3
Bahrain,3
Paraguay,2
Trinidad and Tobago,2
Bosnia and Herzegovina,2
Panama,2
Haiti,2
Chad,2
Macedonia,2
Honduras,2
Mauritius,2
Bhutan,2
Seychelles,2
Monaco,1
Djibouti,1
Kyrgyzstan,1
Azerbaijan,1
Barbados,1
Venezuela,1
Federated States of Micronesia,1
Bahamas,1
Tajikistan,1
Turkmenistan,1
Moldova,1
Eritrea,1
Nicaragua,1
Albania,1
Greenland,1
Lesotho,1
French Polynesia,1
Sao Tome and Principe,1
French Guiana,1
Virgin Islands (U.S.),1
