journal,link
HydroResearch,https://www.sciencedirect.com/journal/hydroresearch
Advances in Water Resources,https://www.sciencedirect.com/journal/advances-in-water-resources
Ecohydrology & Hydrobiology,https://www.sciencedirect.com/journal/ecohydrology-and-hydrobiology
Journal of Contaminant Hydrology,https://www.sciencedirect.com/journal/journal-of-contaminant-hydrology
"Journal of Hydrodynamics, Ser. B",https://www.sciencedirect.com/journal/journal-of-hydrodynamics-ser-b
Journal of Hydro-environment Research,https://www.sciencedirect.com/journal/journal-of-hydro-environment-research
Journal of Hydrology,https://www.sciencedirect.com/journal/journal-of-hydrology
Journal of Hydrology: Regional Studies,https://www.sciencedirect.com/journal/journal-of-hydrology-regional-studies
Journal of Hydrology X,https://www.sciencedirect.com/journal/journal-of-hydrology-x
"Physics and Chemistry of the Earth, Part B: Hydrology, Oceans and Atmosphere",https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere
Water Resources and Economics,https://www.sciencedirect.com/journal/water-resources-and-economics
Water Resources and Industry,https://www.sciencedirect.com/journal/water-resources-and-industry
Water Resources and Rural Development,https://www.sciencedirect.com/journal/water-resources-and-rural-development
Agricultural Water Management,https://www.sciencedirect.com/journal/agricultural-water-management
Groundwater for Sustainable Development,https://www.sciencedirect.com/journal/groundwater-for-sustainable-development
Journal of Water Process Engineering,https://www.sciencedirect.com/journal/journal-of-water-process-engineering
Water Research,https://www.sciencedirect.com/journal/water-research
Sustainability of Water Quality and Ecology,https://www.sciencedirect.com/journal/sustainability-of-water-quality-and-ecology
Water Research X,https://www.sciencedirect.com/journal/water-research-x
Watershed Ecology and the Environment,https://www.sciencedirect.com/journal/watershed-ecology-and-the-environment
Water Security,https://www.sciencedirect.com/journal/water-security
Water Science and Technology,https://www.sciencedirect.com/journal/water-science-and-technology
Water Science and Engineering,https://www.sciencedirect.com/journal/water-science-and-engineering
Water Science,https://www.sciencedirect.com/journal/water-science
Journal of Ocean Engineering and Science,https://www.sciencedirect.com/journal/journal-of-ocean-engineering-and-science
Ocean Engineering,https://www.sciencedirect.com/journal/ocean-engineering
Ocean Modelling,https://www.sciencedirect.com/journal/ocean-modelling
Ecological Modelling,https://www.sciencedirect.com/journal/ecological-modelling
Environmental Modelling & Software,https://www.sciencedirect.com/journal/environmental-modelling-and-software
